타임스탬프,1. 녹화 강의에서 찾고 싶은 부분을 나중에 다시 찾기 어려웠던 경험이 있나요?,2. 이해가 되지 않는 부분에서 일시 정지를 자주 하나요?,3. 한 강의에서 동일한 구간을 여러 번 반복해서 본 경험이 있나요?,4. 왜 일시 정지 및 반복 시청 했나요? (복수 선택 가능),"5. 온라인 강의를 시청하다가 이해가 어려운 구간을 만났을 때, 가장 먼저 하게 되는 행동은 무엇인가요?",6. 현재 녹화 강의 복습 시 평균적으로 시간이 얼마나 걸리나요?,7. 스크랩한 구간과 다른 학생들이 많이 본 구간을 함께 보여준다면 학습에 도움이 될 것 같나요?,"8. 프로그램 ""ReClip""을 적용하면 복습 시간이 줄어들 것 같나요?"
2025. 12. 22 오후 1:43:46,매우 그렇다,그렇다,있음,"개념이 어려워서, 시험 대비",해당 구간에서 일시 정지 시간이 길어짐,30 ~ 60분,매우 그렇다,크게 줄어든다
2025. 12. 22 오후 1:45:52,그렇다,그렇다,있음,"개념이 어려워서, 필기 때문에",특정 구간을 되감기 하여 반복 시청함,30 ~ 60분,그렇다,크게 줄어든다
2025. 12. 22 오후 1:46:06,그렇다,그렇다,있음,"개념이 어려워서, 시험 대비",특정 구간을 되감기 하여 반복 시청함,1 ~ 2시간,그렇다,조금 줄어든다
2025. 12. 22 오후 1:46:08,매우 그렇다,매우 그렇다,있음,"개념이 어려워서, 필기 때문에, 개인 사정 (화장실, 물 마심 등등) 때문에",특정 구간을 되감기 하여 반복 시청함,30 ~ 60분,매우 그렇다,크게 줄어든다
2025. 12. 22 오후 1:48:58,매우 그렇다,그렇다,있음,"개념이 어려워서, 필기 때문에, 개인 사정 (화장실, 물 마심 등등) 때문에",특정 구간을 되감기 하여 반복 시청함,30 ~ 60분,매우 그렇다,크게 줄어든다
2025. 12. 22 오후 1:49:36,매우 그렇다,매우 그렇다,있음,"개념이 어려워서, 필기 때문에",특정 구간을 되감기 하여 반복 시청함,30분 미만,매우 그렇다,크게 줄어든다
2025. 12. 22 오후 1:50:04,그렇다,아니다,있음,"개념이 어려워서, 필기 때문에, 개인 사정 (화장실, 물 마심 등등) 때문에",특정 구간을 되감기 하여 반복 시청함,30분 미만,그렇다,조금 줄어든다
2025. 12. 22 오후 1:58:44,그렇다,매우 그렇다,있음,"개념이 어려워서, 필기 때문에",특정 구간을 되감기 하여 반복 시청함,30 ~ 60분,보통,조금 줄어든다
2025. 12. 22 오후 2:01:37,그렇다,매우 그렇다,있음,"개념이 어려워서, 필기 때문에",특정 구간을 되감기 하여 반복 시청함,30분 미만,매우 그렇다,크게 줄어든다
2025. 12. 22 오후 2:03:16,그렇다,그렇다,있음,"필기 때문에, 개인 사정 (화장실, 물 마심 등등) 때문에",특정 구간을 되감기 하여 반복 시청함,30 ~ 60분,그렇다,조금 줄어든다
2025. 12. 22 오후 2:06:10,그렇다,매우 그렇다,있음,"개념이 어려워서, 필기 때문에, 시험 대비",이해를 위해 메모 or 스크랩(스크린샷 등)을 남김,30 ~ 60분,매우 그렇다,조금 줄어든다
2025. 12. 22 오후 2:07:33,아니다,보통,있음,"개인 사정 (화장실, 물 마심 등등) 때문에",이해를 위해 메모 or 스크랩(스크린샷 등)을 남김,1 ~ 2시간,매우 그렇다,크게 줄어든다
2025. 12. 22 오후 2:15:58,그렇다,매우 그렇다,있음,"개념이 어려워서, 필기 때문에",이해를 위해 메모 or 스크랩(스크린샷 등)을 남김,30 ~ 60분,그렇다,조금 줄어든다
2025. 12. 22 오후 2:18:51,보통,보통,있음,"개념이 어려워서, 필기 때문에",특정 구간을 되감기 하여 반복 시청함,30 ~ 60분,그렇다,조금 줄어든다
2025. 12. 22 오후 2:24:43,아니다,아니다,없음,시험 대비,특정 구간을 되감기 하여 반복 시청함,30 ~ 60분,매우 그렇다,크게 줄어든다
2025. 12. 22 오후 2:29:22,그렇다,그렇다,있음,"개념이 어려워서, 시험 대비, 개인 사정 (화장실, 물 마심 등등) 때문에",특정 구간을 되감기 하여 반복 시청함,1 ~ 2시간,그렇다,조금 줄어든다
2025. 12. 22 오후 3:13:45,보통,그렇다,있음,개념이 어려워서,특정 구간을 되감기 하여 반복 시청함,1 ~ 2시간,매우 그렇다,크게 줄어든다
2025. 12. 22 오후 3:16:50,보통,그렇다,있음,"필기 때문에, 시험 대비",특정 구간을 되감기 하여 반복 시청함,2시간 이상,매우 그렇다,크게 줄어든다
2025. 12. 22 오후 3:17:07,매우 그렇다,매우 그렇다,있음,"필기 때문에, 시험 대비",해당 구간에서 일시 정지 시간이 길어짐,1 ~ 2시간,매우 그렇다,크게 줄어든다
2025. 12. 22 오후 3:17:20,아니다,그렇다,있음,"개념이 어려워서, 필기 때문에, 시험 대비, 개인 사정 (화장실, 물 마심 등등) 때문에",이해를 위해 메모 or 스크랩(스크린샷 등)을 남김,1 ~ 2시간,보통,조금 줄어든다
2025. 12. 22 오후 3:17:24,아니다,매우 그렇다,있음,"개인 사정 (화장실, 물 마심 등등) 때문에",특정 구간을 되감기 하여 반복 시청함,30 ~ 60분,보통,조금 줄어든다
2025. 12. 22 오후 3:19:32,매우 그렇다,매우 그렇다,있음,"개념이 어려워서, 필기 때문에, 개인 사정 (화장실, 물 마심 등등) 때문에",특정 구간을 되감기 하여 반복 시청함,1 ~ 2시간,매우 그렇다,조금 줄어든다
2025. 12. 22 오후 3:24:54,보통,그렇다,있음,필기 때문에,특정 구간을 되감기 하여 반복 시청함,1 ~ 2시간,보통,비슷하다
2025. 12. 22 오후 4:32:46,보통,매우 그렇다,있음,"개념이 어려워서, 필기 때문에",특정 구간을 되감기 하여 반복 시청함,1 ~ 2시간,그렇다,조금 줄어든다
2025. 12. 22 오후 4:35:23,매우 그렇다,매우 그렇다,있음,"개념이 어려워서, 필기 때문에, 시험 대비",해당 구간에서 일시 정지 시간이 길어짐,1 ~ 2시간,그렇다,조금 줄어든다
2025. 12. 22 오후 9:01:09,그렇다,그렇다,있음,"필기 때문에, 시험 대비",특정 구간을 되감기 하여 반복 시청함,1 ~ 2시간,그렇다,조금 줄어든다
2025. 12. 22 오후 10:41:28,매우 그렇다,매우 그렇다,있음,개념이 어려워서,특정 구간을 되감기 하여 반복 시청함,30분 미만,매우 그렇다,크게 줄어든다
2025. 12. 22 오후 11:04:15,그렇다,그렇다,있음,필기 때문에,특정 구간을 되감기 하여 반복 시청함,30 ~ 60분,그렇다,조금 줄어든다
2025. 12. 23 오전 4:42:39,매우 그렇다,매우 그렇다,있음,"개념이 어려워서, 필기 때문에, 시험 대비, 개인 사정 (화장실, 물 마심 등등) 때문에",특정 구간을 되감기 하여 반복 시청함,1 ~ 2시간,매우 그렇다,크게 줄어든다
2025. 12. 23 오전 7:50:55,매우 그렇다,매우 그렇다,있음,"필기 때문에, 개인 사정 (화장실, 물 마심 등등) 때문에",해당 구간에서 일시 정지 시간이 길어짐,1 ~ 2시간,매우 그렇다,크게 줄어든다
